mcc,edited_description,combined_description,usda_description,irs_description,irs_reportable
3012,QANTAS,QANTAS,QANTAS,Airlines,Yes
3013,ALITALIA,ALITALIA,ALITALIA,Airlines,Yes
3014,SAUDIA ARABIAN AIRLINES,SAUDIA ARABIAN AIRLINES,SAUDIA ARABIAN AIRLINES,Airlines,Yes
3015,SWISSAIR,SWISSAIR,SWISSAIR,Airlines,Yes
3016,SAS,SAS,SAS,Airlines,Yes
3017,SOUTH AFRICAN AIRWAYS,SOUTH AFRICAN AIRWAYS,SOUTH AFRICAN AIRWAYS,Airlines,Yes
3018,VARIG (BRAZIL),VARIG (BRAZIL),VARIG (BRAZIL),Airlines,Yes
3019,Airlines,Airlines,,Airlines,Yes
3020,AIR-INDIA,AIR-INDIA,AIR-INDIA,Airlines,Yes
3021,AIR ALGERIE,AIR ALGERIE,AIR ALGERIE,Airlines,Yes
3022,PHILIPPINE AIRLINES,PHILIPPINE AIRLINES,PHILIPPINE AIRLINES,Airlines,Yes
3023,MEXICANA,MEXICANA,MEXICANA,Airlines,Yes
3024,PAKISTAN INTERNATIONAL,PAKISTAN INTERNATIONAL,PAKISTAN INTERNATIONAL,Airlines,Yes
3025,AIR NEW ZEALAND,AIR NEW ZEALAND,AIR NEW ZEALAND,Airlines,Yes
3026,Airlines,Airlines,,Airlines,Yes
3027,UTA/INTERAIR,UTA/INTERAIR,UTA/INTERAIR,Airlines,Yes
3028,AIR MALTA,AIR MALTA,AIR MALTA,Airlines,Yes
3029,SABENA,SABENA,SABENA,Airlines,Yes
3030,AEROLINEAS ARGENTINAS,AEROLINEAS ARGENTINAS,AEROLINEAS ARGENTINAS,Airlines,Yes
3031,OLYMPIC AIRWAYS,OLYMPIC AIRWAYS,OLYMPIC AIRWAYS,Airlines,Yes
3032,EL AL,EL AL,EL AL,Airlines,Yes
3033,ANSETT AIRLINES,ANSETT AIRLINES,ANSETT AIRLINES,Airlines,Yes
3034,AUSTRAINLIAN AIRLINES,AUSTRAINLIAN AIRLINES,AUSTRAINLIAN AIRLINES,Airlines,Yes
3035,TAP (PORTUGAL),TAP (PORTUGAL),TAP (PORTUGAL),Airlines,Yes
3036,VASP (BRAZIL),VASP (BRAZIL),VASP (BRAZIL),Airlines,Yes
3037,EGYPTAIR,EGYPTAIR,EGYPTAIR,Airlines,Yes
3038,KUWAIT AIRLINES,KUWAIT AIRLINES,KUWAIT AIRLINES,Airlines,Yes
3039,AVIANCA,AVIANCA,AVIANCA,Airlines,Yes
3040,GULF AIR (BAHRAIN),GULF AIR (BAHRAIN),GULF AIR (BAHRAIN),Airlines,Yes
3041,BALKAN-BULGARIAN AIRLINES,BALKAN-BULGARIAN AIRLINES,BALKAN-BULGARIAN AIRLINES,Airlines,Yes
3042,FINNAIR,FINNAIR,FINNAIR,Airlines,Yes
3043,AER LINGUS,AER LINGUS,AER LINGUS,Airlines,Yes
3044,AIR LANKA,AIR LANKA,AIR LANKA,Airlines,Yes
3045,NIGERIA AIRWAYS,NIGERIA AIRWAYS,NIGERIA AIRWAYS,Airlines,Yes
3046,CRUZEIRO DO SUL (BRAZIJ),CRUZEIRO DO SUL (BRAZIJ),CRUZEIRO DO SUL (BRAZIJ),Airlines,Yes
3047,THY (TURKEY),THY (TURKEY),THY (TURKEY),Airlines,Yes
3048,ROYAL AIR MAROC,ROYAL AIR MAROC,ROYAL AIR MAROC,Airlines,Yes
3049,TUNIS AIR,TUNIS AIR,TUNIS AIR,Airlines,Yes
3050,ICELANDAIR,ICELANDAIR,ICELANDAIR,Airlines,Yes
3051,AUSTRIAN AIRLINES,AUSTRIAN AIRLINES,AUSTRIAN AIRLINES,Airlines,Yes
3052,LANCHILE,LANCHILE,LANCHILE,Airlines,Yes
3053,AVIACO (SPAIN),AVIACO (SPAIN),AVIACO (SPAIN),Airlines,Yes
3054,LADECO (CHILE),LADECO (CHILE),LADECO (CHILE),Airlines,Yes
3055,LAB (BOLIVIA),LAB (BOLIVIA),LAB (BOLIVIA),Airlines,Yes
3056,QUEBECAIRE,QUEBECAIRE,QUEBECAIRE,Airlines,Yes
3057,EASTWEST AIRLINES (AUSTRALIA),EASTWEST AIRLINES (AUSTRALIA),EASTWEST AIRLINES (AUSTRALIA),Airlines,Yes
3058,DELTA,DELTA,DELTA,Airlines,Yes
3059,Airlines,Airlines,,Airlines,Yes
3060,NORTHWEST,NORTHWEST,NORTHWEST,Airlines,Yes
3061,CONTINENTAL,CONTINENTAL,CONTINENTAL,Airlines,Yes
3062,WESTERN,WESTERN,WESTERN,Airlines,Yes
3063,US AIR,US AIR,US AIR,Airlines,Yes
3064,Airlines,Airlines,,Airlines,Yes
3065,AIRINTER,AIRINTER,AIRINTER,Airlines,Yes
